Natural emissions backed out from the RCP scenarios,,
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005,,
,MtCH4,MtN2O-N
year,ch4,n2o
2408,190.5807,8.9883
2409,190.5807,8.9883
2410,190.5807,8.9883
2411,190.5807,8.9883
2412,190.5807,8.9883
2413,190.5807,8.9883
2414,190.5807,8.9883
2415,190.5807,8.9883
2416,190.5807,8.9883
2417,190.5807,8.9883
2418,190.5807,8.9883
2419,190.5807,8.9883
2420,190.5807,8.9883
2421,190.5807,8.9883
2422,190.5807,8.9883
2423,190.5807,8.9883
2424,190.5807,8.9883
2425,190.5807,8.9883
2426,190.5807,8.9883
2427,190.5807,8.9883
2428,190.5807,8.9883
2429,190.5807,8.9883
2430,190.5807,8.9883
2431,190.5807,8.9883
2432,190.5807,8.9883
2433,190.5807,8.9883
2434,190.5807,8.9883
2435,190.5807,8.9883
2436,190.5807,8.9883
2437,190.5807,8.9883
2438,190.5807,8.9883
2439,190.5807,8.9883
2440,190.5807,8.9883
2441,190.5807,8.9883
2442,190.5807,8.9883
2443,190.5807,8.9883
2444,190.5807,8.9883
2445,190.5807,8.9883
2446,190.5807,8.9883
2447,190.5807,8.9883
2448,190.5807,8.9883
2449,190.5807,8.9883
2450,190.5807,8.9883
2451,190.5807,8.9883
2452,190.5807,8.9883
2453,190.5807,8.9883
2454,190.5807,8.9883
2455,190.5807,8.9883
2456,190.5807,8.9883
2457,190.5807,8.9883
2458,190.5807,8.9883
2459,190.5807,8.9883
2460,190.5807,8.9883
2461,190.5807,8.9883
2462,190.5807,8.9883
2463,190.5807,8.9883
2464,190.5807,8.9883
2465,190.5807,8.9883
2466,190.5807,8.9883
2467,190.5807,8.9883
2468,190.5807,8.9883
2469,190.5807,8.9883
2470,190.5807,8.9883
2471,190.5807,8.9883
2472,190.5807,8.9883
2473,190.5807,8.9883
2474,190.5807,8.9883
2475,190.5807,8.9883
2476,190.5807,8.9883
2477,190.5807,8.9883
2478,190.5807,8.9883
2479,190.5807,8.9883
2480,190.5807,8.9883
2481,190.5807,8.9883
2482,190.5807,8.9883
2483,190.5807,8.9883
2484,190.5807,8.9883
2485,190.5807,8.9883
2486,190.5807,8.9883
2487,190.5807,8.9883
2488,190.5807,8.9883
2489,190.5807,8.9883
2490,190.5807,8.9883
2491,190.5807,8.9883
2492,190.5807,8.9883
2493,190.5807,8.9883
2494,190.5807,8.9883
2495,190.5807,8.9883
2496,190.5807,8.9883
2497,190.5807,8.9883
2498,190.5807,8.9883
2499,190.5807,8.9883
2500,190.5807,8.9883
